ObservedAgentID;CounterpartyID;EnterpriseNationalIDflag;ENI;NatIdType;LEI;RACI;BCI;NPNI;HeadOfficeUndertakingID;ImmediateParentUndertakingID;UltimateParentUndertakingID;TypeofEntity;Enterprise;Name;Firstname;Lastname;Birthdate;Street;Streetnumber;City;NUTS;Postalcode;Country;Legalform;InstitutionalSector;EconomicActivity;StatusOfLegalProceedings;DateOfInitiationOfLegalProceedings;EnterpriseSize;DateOfEnterpriseSize;NumberOfEmployees;BalanceSheetTotal;AnnualTurnover;ProbabilityOfDefault;DefaultStatusOfTheCounterpartyAnaCredit;DateOfTheDefaultStatusOfTheCounterpartyAnaCredit
6305574;6306492;1;843422767;FR_SIREN_CD;NotApplicable;6306492;;;NotRequired;NotRequired;NotRequired;LE;Y;ROMBAS;;;;3 RUE DE MESSINE;;PARIS;FR101;75008;FR;FR6599;S11;66_30;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306582;1;B136923;LU_RCS_CD;NotApplicable;6306582;;;NotRequired;NotRequired;NotRequired;LE;Y;DEVOS SA;;;;10 RUE HENRI SCHNADT;;LUXEMBOURG;LU000;2530;LU;LU07;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306586;1;556961924;BE_OND_CD;967600MREKITPNNTV953;6306586;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306720;1;882253628;FR_SIREN_CD;NotApplicable;6306720;;;NotRequired;NotRequired;NotRequired;LE;Y;OCLAF74 SCI;;;;74 RUE DU FAUBOURG ST.-HONORE;;PARIS;FR101;75008;FR;FR6540;S11;68_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306725;1;744449858;BE_OND_CD;875500MLOBYTY6013P25;6306725;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306729;1;875004336;BE_OND_CD;549300PM4JWT03YKAR85;6306729;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306735;1;C89732;MT_CNUM_CD;NotApplicable;6306735;;;NotRequired;6306370;6306370;LE;Y;ZE QUEST LTD;;;;GIUSEPPE CALI STREET LEVEL 5 CAROLINA COURT;;TA' XBIEX XBX 1425;MT001;XBX 1425;MT;EU100;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306736;1;C89733;MT_CNUM_CD;NotApplicable;6306736;;;NotRequired;6306370;6306370;LE;Y;ZE VENTURES LTD;;;;GIUSEPPE CALI STREET LEVEL 5 CAROLINA COURT;;TA' XBIEX XBX 1425;MT001;XBX 1425;MT;EU100;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306750;1;840950471;FR_SIREN_CD;NotApplicable;6306750;;;NotRequired;NotRequired;NotRequired;LE;Y;TALVIEL 1 SCI;;;;22 RUE DE TEHERAN;;PARIS;FR101;75008;FR;FR6540;S11;68_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306757;1;840950810;FR_SIREN_CD;NotApplicable;6306757;;;NotRequired;NotRequired;NotRequired;LE;Y;TALVIEL 2 SCI;;;;22 RUE DE TEHERAN;;PARIS;FR101;75008;FR;FR6540;S11;68_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306758;1;841016512;FR_SIREN_CD;NotApplicable;6306758;;;NotRequired;NotRequired;NotRequired;LE;Y;TALVIEL 3 SCI;;;;22 RUE DE TEHERAN;;PARIS;FR101;75008;FR;FR6540;S11;68_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306920;1;485177216;FR_SIREN_CD;969500HUC67R1XHVKO88;6306920;;;NotRequired;NotRequired;NotRequired;LE;Y;ALMANACC SARL;;;;45 RUE DE COURCELLES;;PARIS;FR101;75008;FR;FR5499;S11;64_30;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6307022;1;881373177;BE_OND_CD;213800UY18C67U565L89;6307022;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6307148;1;842020673;BE_OND_CD;875500RL264DHV1UKY75;6307148;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6307208;1;876914246;BE_OND_CD;NotApplicable;6307208;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6307300;1;795999816;BE_OND_CD;8755002K5CSH0EEMZZ71;6307300;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6307314;1;846195435;BE_OND_CD;967600V51GITZ8DBTR92;6307314;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305748;0; ; ;;6305748;;66100459067; ; ; ;NLE;N; ;CAROLINE;PAIN;04/10/1966;RUE EMMANUEL VAN DRIESSCHE 47;;IXELLES; ;1050;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306021;0; ; ;;6306021;;7,69911E+11; ; ; ;NLE;N; ;SAMI;RIFAI;09/11/1971;27 AVENUE BERNARD PALISSY;;SAINT CLOUD; ;92210;FR;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306022;0; ; ;;6306022;;1,81188E+11; ; ; ;NLE;N; ;BENEDICTE;RIFAI;09/11/1972;27 AVENUE BERNARD PALISSY;;SAINT-CLOUD; ;92210;FR;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306078;0; ; ;;6306078;;1,43767E+12; ; ; ;NLE;N; ;MARIE CHRISTINE;SURUN;13/10/1946;25 RUE VITAL;;PARIS 16; ;75116;FR;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306221;0; ; ;;6306221;;71012558368; ; ; ;NLE;N; ;STEPHANE;BENAYM;25/01/1971;AVENUE DES MYRTILLES 51;;UCCLE; ;1180;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306370;1;97957;GEN_NBR_ENTTY_CD;213800C9VLC7KSPFRB49;6306370;;;NotRequired;NotRequired;NotRequired;LE;Y;SMART ENERGIES LIMITED; ; ;;SUITE 3, SECOND FLOORICOM HOUSE, 1/5 IRISH TOWN;;GIBRALTAR;GI;GX11 1AA;GI;RW100;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306567;0; ; ;;6306567;;1,44724E+12; ; ; ;NLE;N; ;MARIE-JOSEPHE FLORE;SAUVAGE DE BRANTES;03/07/1969;LE FRESNE;;AUTHON; ;41310;FR;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306585;0; ; ;;6306585;;; ; ; ;NLE;N; ;ALEXANDRE;PAIN;17/02/1969;RUE VAN EYCK 12;;BRUXELLES; ;1000;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306665;0; ; ;;6306665;;48091054829; ; ; ;NLE;N; ;YOLAINE;DU COUEDIC DE KERGOALER;10/09/1948;AVENUE WINSTON CHURCHILL 194/12;;UCCLE; ;1180;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306951;0; ; ;;6306951;;1,77028E+12; ; ; ;NLE;N; ;NICOLAS;DEVOS;03/02/1977;13 GALERIE VIVIENNE;;PARIS; ;75002;FR;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6307030;0; ; ;;6307030;;; ; ; ;NLE;N; ;JOSEPHINE;PAIN--CAZZANI;07/08/1997;42 RUE SANTOS DUMONT;;PARIS; ;75015;FR;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6307149;0; ; ;;6307149;;4,04E+11; ; ; ;NLE;N; ;MARCO;PACCHIONI;22/09/1963;2 RUE SALOMON REINACH;;BOULOGNE BILLANCOURT; ;92100;FR;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
